body_threshold,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Profit Factor,Total Trades,Expectancy,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Total Fees Paid
0.005,-2.7362,-1.4062,3.6537,51.0989,0.7123,182,-1.5034,10.2318,-11.77,1.4814,-2.1684,178.9115
0.0051,-3.0769,-1.5191,3.8591,52.2472,0.6837,178,-1.7286,10.2318,-11.77,1.4573,-2.3265,174.699
0.0052,-2.5483,-1.2556,3.4235,54.6961,0.7362,181,-1.4079,10.2318,-11.77,1.4631,-2.3923,177.8192
0.0053,-2.1238,-1.0643,3.1463,53.6313,0.7658,179,-1.1865,10.2318,-10.0555,1.4766,-2.2217,175.6761
0.0054,-2.2727,-1.1642,3.3899,53.3333,0.7575,180,-1.2626,10.2318,-10.0555,1.5103,-2.2699,176.6135
0.0055,-2.4468,-1.2573,3.4953,50.8475,0.7441,177,-1.3824,10.2318,-10.0555,1.6157,-2.2374,173.569
0.0056,-2.0123,-1.0364,3.1048,51.4451,0.7856,173,-1.1632,10.2318,-10.0555,1.6863,-2.2668,170.2661
0.0057,-1.9446,-1.0235,3.0835,52.3529,0.7879,170,-1.1439,10.2318,-16.885,1.6489,-2.2922,167.7203
0.0058,-2.3901,-1.2902,3.6488,53.5714,0.741,168,-1.4227,7.904,-16.885,1.5462,-2.4,165.3576
0.0059,-1.868,-1.0421,3.2529,55.7576,0.7785,165,-1.1321,7.904,-16.885,1.4517,-2.3418,162.5196
0.006,-2.6022,-1.3946,4.0932,52.0958,0.7029,167,-1.5582,7.904,-16.885,1.4487,-2.2308,163.5793
0.0061,-2.6067,-1.3588,4.1345,53.8012,0.7159,171,-1.5244,7.904,-16.885,1.46,-2.3643,167.6796
0.0062,-2.7619,-1.4205,4.3925,53.6585,0.7,164,-1.6841,7.904,-16.885,1.4955,-2.4638,160.8592
0.0063,-2.9315,-1.4841,4.6986,53.3333,0.6892,165,-1.7767,9.2115,-16.885,1.5112,-2.4949,161.7231
0.0064,-3.5417,-1.7735,5.1679,53.5714,0.6402,168,-2.1082,9.2115,-16.885,1.4352,-2.5756,164.4366
0.0065,-3.6658,-1.8679,5.1959,53.1646,0.6278,158,-2.3201,9.2115,-16.885,1.5108,-2.719,154.4346
0.0066,-3.6036,-1.8362,5.2951,53.2051,0.6529,156,-2.31,9.5435,-16.885,1.6751,-2.9042,152.527
0.0067,-3.3383,-1.6966,5.1136,54.375,0.6806,160,-2.0864,9.2115,-16.885,1.6753,-2.9209,156.5942
0.0068,-4.588,-2.3231,5.9119,52.2293,0.5804,157,-2.9223,7.904,-16.885,1.5928,-2.9887,152.7515
0.0069,-4.441,-2.2103,5.7905,51.6779,0.5794,149,-2.9805,7.4765,-16.885,1.6322,-3.0024,145.2412
0.007,-5.5604,-2.8315,6.7795,51.049,0.5166,143,-3.8884,7.4765,-16.885,1.6811,-3.3821,138.4218
0.0071,-5.1324,-2.6208,6.4667,53.9007,0.5461,141,-3.64,7.4765,-16.885,1.6747,-3.5725,137.2032
0.0072,-5.617,-2.8349,6.7762,52.9412,0.5083,136,-4.1301,7.4765,-16.885,1.6699,-3.6783,131.7943
0.0073,-5.327,-2.6818,6.6317,53.3333,0.5347,135,-3.9459,7.4765,-16.885,1.7529,-3.7339,131.2657
0.0074,-4.6915,-2.3541,5.9296,55.4745,0.5791,137,-3.4245,7.4765,-16.885,1.7413,-3.7374,133.8854
0.0075,-4.2947,-2.1117,5.4415,56.0284,0.6174,141,-3.0459,7.4765,-16.885,1.7953,-3.696,137.9761
0.0076,-3.8365,-1.9169,5.1104,55.1471,0.6423,136,-2.821,7.4765,-16.885,1.8732,-3.5783,133.5425
0.0077,-3.5895,-1.7672,4.8844,55.1471,0.6624,136,-2.6394,10.8264,-16.885,1.9178,-3.5488,133.5193
0.0078,-3.2104,-1.6165,4.5196,55.4688,0.6798,128,-2.5081,10.8264,-16.885,1.9622,-3.5807,125.5967
0.0079,-3.1192,-1.5674,4.5344,56.0,0.6692,125,-2.4953,10.8264,-16.885,1.841,-3.4877,122.8377
0.008,-3.2387,-1.6397,4.6119,57.1429,0.6574,119,-2.7216,10.8264,-16.885,1.8724,-3.7792,116.5547
0.0081,-3.2952,-1.661,4.6677,56.6667,0.6448,120,-2.746,10.8264,-16.885,1.8043,-3.6405,117.3732
0.0082,-3.3741,-1.7218,4.8078,58.1197,0.6392,117,-2.8838,10.8264,-16.885,1.8051,-3.8975,114.2868
0.0083,-3.884,-1.9654,5.2956,58.4746,0.5915,118,-3.2915,10.8264,-16.885,1.6751,-3.9675,115.2342
0.0084,-3.8787,-1.9758,5.2904,59.4595,0.5884,111,-3.4943,10.8264,-16.885,1.7282,-4.2839,108.2449
0.0085,-3.3881,-1.7182,4.8069,60.0,0.6178,110,-3.0801,10.8264,-16.885,1.7013,-4.11,107.5603
0.0086,-3.8891,-1.9834,5.3006,57.6923,0.5653,104,-3.7395,10.8264,-16.885,1.7343,-4.1594,101.4214
0.0087,-3.5195,-1.7876,4.9364,56.7308,0.5895,104,-3.3841,10.8264,-16.885,1.757,-3.8877,101.6988
0.0088,-3.2972,-1.6835,4.7174,57.6923,0.6047,104,-3.1704,10.8264,-22.3002,1.7225,-3.8636,101.8366
0.0089,-3.6283,-1.8204,4.8247,58.2524,0.5845,103,-3.5226,10.8264,-22.3002,1.7417,-4.1392,100.7929
0.009,-3.7921,-1.9272,4.5867,60.1942,0.563,103,-3.6817,6.2276,-22.3002,1.6075,-4.3069,100.8644
0.0091,-3.6756,-1.8677,4.4711,60.5769,0.5804,104,-3.5342,6.2276,-22.3002,1.6436,-4.3422,101.978
0.0092,-3.8173,-1.9313,4.6116,60.0,0.5546,110,-3.4703,6.2276,-22.3002,1.4687,-3.9633,107.7747
0.0093,-3.0555,-1.5234,4.0014,59.8131,0.6285,107,-2.8557,6.2276,-22.3002,1.6446,-3.8818,105.0339
0.0094,-3.103,-1.5621,4.0336,60.1942,0.6129,103,-3.0126,6.2276,-22.3002,1.6136,-3.9682,101.0822
0.0095,-3.6171,-1.8304,4.1918,59.8039,0.5576,102,-3.5462,6.2276,-22.3002,1.5225,-4.0529,99.9367
0.0096,-3.0519,-1.5482,3.6299,62.6263,0.6207,99,-3.0827,6.2276,-22.3002,1.6363,-4.4062,97.3053
0.0097,-2.5782,-1.3009,3.4132,62.766,0.6666,94,-2.7428,6.2276,-22.3002,1.7701,-4.4649,92.7415
0.0098,-2.7617,-1.4145,3.7071,60.6742,0.6271,89,-3.1031,6.2276,-22.3002,1.739,-4.2728,87.8796
0.0099,-2.5853,-1.3429,3.5346,61.5385,0.6501,91,-2.841,7.1515,-22.3002,1.7357,-4.2632,89.8559
