Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Entry_Hour
0,0,0.6832104729833537,360,731.5462799999999,0.19992003198717612,361,731.9235860000001,0.20002314375149297,-0.14216376501907632,-0.0002844412610501679,Long,Closed,0,0
1,0,0.4767230283743448,1343,1048.10958,0.19986318921826296,1348,1060.1079359999999,0.20215114626143843,5.3178782723537,0.01064303695573501,Long,Closed,1,0
2,0,0.4217253754445807,1703,1197.3994320000002,0.2019894900068948,1736,1196.81059,0.2018901581615201,-0.6522092616959886,-0.0012915706885018791,Long,Closed,2,0
3,0,0.4174014340633733,1779,1208.2416,0.20172871061396336,1780,1211.527646,0.20227735073912917,0.967594251445101,0.0019186049392771016,Long,Closed,3,0
4,0,0.39108704985483345,2808,1292.011546,0.20211559356140898,2809,1287.73,0.2014458106838259,1.2708957897124864,0.002515186022648666,Short,Closed,4,0
5,0,0.4789442026703819,3648,1057.658426,0.20262374861527244,3649,1052.440446,0.20162410010701248,2.0948734219276517,0.0041354943559064215,Short,Closed,5,0
6,0,0.41315435616734447,5052,1231.14618,0.20346136293829886,5053,1246.910568,0.2060666131681191,6.103597598405756,0.011999521698389989,Long,Closed,6,0
7,0,0.389009383478591,6836,1323.244596,0.2059018257924663,6840,1337.78239,0.2081639611049664,5.2412724941813655,0.010182080657142753,Long,Closed,7,0
8,0,0.3663259324634432,7107,1419.48384,0.20799749652189803,7112,1433.373268,0.21003271958730918,4.670027447374617,0.008980930108228605,Long,Closed,8,0
9,0,0.37420000061257885,7121,1402.089526,0.20986476059523618,7122,1399.03,0.20940681074280648,0.7256030597361882,0.001382991708904671,Short,Closed,9,0
10,0,0.4188157525525657,7642,1254.4590580000001,0.2101548857690611,7643,1249.02,0.20924370050128224,1.8585645831768187,0.003537513917652512,Short,Closed,10,0
11,0,0.39905796387146975,8180,1321.224192,0.2108980143508461,8181,1342.8513759999998,0.21435021435542453,8.20525178260726,0.015562501729305216,Long,Closed,11,0
12,0,0.39927691413244987,8506,1341.0417380000001,0.21417880274858295,8508,1336.797306,0.21350092126410092,1.2670239871923954,0.002366292034379725,Short,Closed,12,0
13,0,0.3918235011143367,8572,1369.783902,0.21468540970067806,8591,1376.0947259999998,0.21567450136251756,2.0423692435332406,0.0038053247239871117,Long,Closed,13,0
14,0,0.31291054856466544,10371,1721.754282,0.21550203074968977,10380,1731.6536,0.2167410711599911,2.6653579238863716,0.0049472534706319375,Long,Closed,14,0
15,0,0.3395945608800214,10968,1594.3110740000002,0.21656774763247413,10969,1599.97,0.2173364438284831,-2.355644681483401,-0.0043508688754173,Short,Closed,15,0
16,0,0.3277628697697212,11083,1644.67887,0.21562586651225502,11087,1647.280478,0.2159669507139672,0.4211176868696309,0.0007812006855783281,Long,Closed,16,0
17,0,0.31223044589705284,11823,1727.844362,0.21579424623518753,11824,1732.23,0.21634197811850073,-1.8014659326366642,-0.0033392288516780966,Short,Closed,17,0
18,0,0.29479877298150264,13186,1823.9047080000003,0.21507394798140922,13201,1832.963334,0.2161421367133137,2.239255745003549,0.0041646248018785545,Long,Closed,18,0
19,0,0.3036525404732801,13561,1778.095548,0.21596929214172178,13562,1779.9139460000001,0.2161901566106883,0.12000172353915217,0.00022225701135396194,Long,Closed,19,0
20,0,0.27750605038730103,14109,1946.0591340000003,0.216017273638613,14119,1931.83,0.21443780532787987,-4.379125855738285,-0.008108843856746116,Long,Closed,20,0
