ema_length,lookback,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,avg_trade_duration_min,profit_factor
10,5,-29.99483103566919,-13.36018233623819,30.128585791429472,22.9981718464351,2735,0,0.4006060819482772
10,8,-29.99483103566919,-13.36018233623819,30.128585791429472,22.9981718464351,2735,0,0.4006060819482772
10,10,-29.99483103566919,-13.36018233623819,30.128585791429472,22.9981718464351,2735,0,0.4006060819482772
15,5,-26.039559167639307,-12.363477267831986,26.10881457569069,22.297583721916066,2359,0,0.4033514371510905
15,8,-26.039559167639307,-12.363477267831986,26.10881457569069,22.297583721916066,2359,0,0.4033514371510905
15,10,-26.039559167639307,-12.363477267831986,26.10881457569069,22.297583721916066,2359,0,0.4033514371510905
20,5,-23.02142645423938,-10.491647854412708,23.238224661607727,22.201918684330746,2189,0,0.43283292851356214
20,8,-23.02142645423938,-10.491647854412708,23.238224661607727,22.201918684330746,2189,0,0.43283292851356214
20,10,-23.02142645423938,-10.491647854412708,23.238224661607727,22.201918684330746,2189,0,0.43283292851356214
25,5,-21.089149272799375,-9.861064587520833,21.335434814508485,22.067975107707035,2089,0,0.4472107161952391
25,8,-21.089149272799375,-9.861064587520833,21.335434814508485,22.067975107707035,2089,0,0.4472107161952391
25,10,-21.089149272799375,-9.861064587520833,21.335434814508485,22.067975107707035,2089,0,0.4472107161952391
