Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,rsi_window,entry_long,exit_long,entry_short,exit_short
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-780.056592578326,-1660.113185156652,48.684645106865275,100.0,868.1368553473296,384.36428030001116,322 days 12:00:00,9,8,1,-279.721163096239,50.0,3.424045756106231,-2.8340612525586466,1.5097558592613252,-1.5230662443270577,0 days 04:15:00,0 days 09:00:00,0.8806718149416115,-68.79192868525877,0.9348920834331524,,1.2909229705517105,1.7505940080691804,7,20,40,65,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-630.3215414265644,-1360.6430828531288,48.684645106865275,100.0,3899.962162082905,384.36428030001116,312 days 14:00:00,39,38,1,-241.55348268560954,57.89473684210527,3.424045756106231,-3.6571402545350074,0.7498070976723294,-1.4695214555123197,0 days 04:51:49.090909090,0 days 06:33:45,0.9634236057128059,-11.546527861603465,1.4180580028111098,,1.4678026566897449,4.053638390263363,7,20,40,65,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1276.6431607177306,-2653.286321435461,48.684645106865275,100.0,1220.4334994641522,384.36428030001116,322 days 12:00:00,11,10,1,-457.7925668116941,60.0,3.424045756106231,-2.572228913307798,0.9334853589010376,-1.5066332472015915,0 days 04:00:00,0 days 05:30:00,0.8098404341186997,-86.88505939060235,0.05367953149601535,,1.0147913717572166,0.08775013807131547,7,20,40,65,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3533.465505198397,-7166.931010396793,48.684645106865275,50.163679733616654,171.49581508490832,1260.73795989878,322 days 12:00:00,2,1,1,-1217.3028259630516,0.0,-2.8340612525586395,-2.8340612525586395,,-2.8340612525586395,,0 days 04:00:00,0.0,-2366.1626792353495,-1.1110232785291514,,0.7867428690946221,-1.2381986715526454,7,20,40,70,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3533.465505198397,-7166.931010396793,48.684645106865275,50.163679733616654,171.49581508490832,1260.73795989878,322 days 12:00:00,2,1,1,-1217.3028259630516,0.0,-2.8340612525586395,-2.8340612525586395,,-2.8340612525586395,,0 days 04:00:00,0.0,-2366.1626792353495,-1.1110232785291514,,0.7867428690946221,-1.2381986715526454,7,20,40,70,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-62.77840251445622,-225.55680502891244,48.684645106865275,50.13135070121514,347.2772003995898,343.4064109000028,322 days 06:00:00,3,2,1,-20.586964145520778,50.0,0.13050146755331066,-0.2321827023371392,0.13050146755331066,-0.2321827023371392,0 days 02:00:00,0 days 07:00:00,0.5484640891738123,-46.09571918445379,-1.1551274514489176,519.8111759269004,0.09866890081143008,-1.155315436530066,7,20,40,70,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3533.465505198397,-7166.931010396793,48.684645106865275,50.163679733616654,171.49581508490832,1260.73795989878,322 days 12:00:00,2,1,1,-1217.3028259630516,0.0,-2.8340612525586395,-2.8340612525586395,,-2.8340612525586395,,0 days 04:00:00,0.0,-2366.1626792353495,-1.1110232785291514,,0.7867428690946221,-1.2381986715526454,7,20,40,75,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3533.465505198397,-7166.931010396793,48.684645106865275,50.163679733616654,171.49581508490832,1260.73795989878,322 days 12:00:00,2,1,1,-1217.3028259630516,0.0,-2.8340612525586395,-2.8340612525586395,,-2.8340612525586395,,0 days 04:00:00,0.0,-2366.1626792353495,-1.1110232785291514,,0.7867428690946221,-1.2381986715526454,7,20,40,75,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-62.77840251445622,-225.55680502891244,48.684645106865275,50.13135070121514,347.2772003995898,343.4064109000028,322 days 06:00:00,3,2,1,-20.586964145520778,50.0,0.13050146755331066,-0.2321827023371392,0.13050146755331066,-0.2321827023371392,0 days 02:00:00,0 days 07:00:00,0.5484640891738123,-46.09571918445379,-1.1551274514489176,519.8111759269004,0.09866890081143008,-1.155315436530066,7,20,40,75,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-457.7904237346667,-1015.5808474693334,48.684645106865275,50.392235758837366,175.80478851147947,700.6372932999802,322 days 06:00:00,2,1,1,-150.16998883163922,0.0,-0.40797532699502254,-0.40797532699502254,,-0.40797532699502254,,0 days 16:00:00,0.0,-357.620434903033,-1.1704407620849997,,0.327768252271171,-1.1721956605707482,7,20,40,80,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-248.71834580683674,-597.4366916136735,48.684645106865275,50.06366308012351,175.80478851147947,700.6372932999802,322 days 06:00:00,2,1,1,-81.58762017635472,0.0,-0.24730714711909652,-0.24730714711909652,,-0.24730714711909652,,0 days 05:00:00,0.0,-217.1307256304795,-1.5101119406139807,2.0312540445786427,0.7150039931426421,-1.6040445926338072,7,20,40,80,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-248.71834580683674,-597.4366916136735,48.684645106865275,50.06366308012351,175.80478851147947,700.6372932999802,322 days 06:00:00,2,1,1,-81.58762017635472,0.0,-0.24730714711909652,-0.24730714711909652,,-0.24730714711909652,,0 days 05:00:00,0.0,-217.1307256304795,-1.5101119406139807,2.0312540445786427,0.7150039931426421,-1.6040445926338072,7,20,40,80,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-794.1436189702525,-1688.287237940505,48.684645106865275,100.0,868.081091041901,384.36428030001116,322 days 12:00:00,9,8,1,-284.7726419817498,50.0,3.424045756106231,-2.8340612525586466,1.5238167676938343,-1.9393672484699753,0 days 04:30:00,0 days 09:30:00,0.8789545966597513,-69.92137212356391,0.9052647316577326,,1.2817756859753446,1.6627560781396062,7,20,50,65,40
