Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,rsi_window,entry_long,exit_long,entry_short,exit_short
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-382.727800993313,-865.4556019866259,48.65225142057081,100.0,173.16920609378724,1337.3053602626896,323 days 18:45:00,4,3,1,-129.64522245436635,0.0,-0.23428049942944437,-0.9126268618460088,,-0.4991555121833614,,0 days 02:24:59.999999999,0.0,-101.02752617965022,-1.6090456086565474,,0.8689752827618892,-1.6445183344028762,7,20,40,65,40
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-900.2381593368049,-1900.47631867361,48.65225142057081,100.0,173.16920609378724,2069.600362034583,323 days 18:45:00,4,3,1,-304.9466909020505,0.0,-0.23428049942944437,-0.9126268618460088,,-0.6323355879936109,,0 days 02:15:00,0.0,-215.0971561449185,-1.7818896739229912,,0.8560920839211484,-1.8003381435537735,7,20,40,65,50
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-681.3498948314319,-1462.6997896628639,48.65225142057081,100.0,173.16920609378724,1590.7021943180455,323 days 18:45:00,4,3,1,-230.80047609664874,0.0,-0.23428049942944437,-0.9126268618460088,,-0.5758758803986008,,0 days 01:55:00,0.0,-166.8498062449314,-1.6954596621970797,,0.8625536703403068,-1.712381749425351,7,20,40,65,60
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-382.727800993313,-865.4556019866259,48.65225142057081,100.0,173.16920609378724,1337.3053602626896,323 days 18:45:00,4,3,1,-129.64522245436635,0.0,-0.23428049942944437,-0.9126268618460088,,-0.4991555121833614,,0 days 02:24:59.999999999,0.0,-101.02752617965022,-1.6090456086565474,,0.8689752827618892,-1.6445183344028762,7,20,40,70,40
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-900.2381593368049,-1900.47631867361,48.65225142057081,100.0,173.16920609378724,2069.600362034583,323 days 18:45:00,4,3,1,-304.9466909020505,0.0,-0.23428049942944437,-0.9126268618460088,,-0.6323355879936109,,0 days 02:15:00,0.0,-215.0971561449185,-1.7818896739229912,,0.8560920839211484,-1.8003381435537735,7,20,40,70,50
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-681.3498948314319,-1462.6997896628639,48.65225142057081,100.0,173.16920609378724,1590.7021943180455,323 days 18:45:00,4,3,1,-230.80047609664874,0.0,-0.23428049942944437,-0.9126268618460088,,-0.5758758803986008,,0 days 01:55:00,0.0,-166.8498062449314,-1.6954596621970797,,0.8625536703403068,-1.712381749425351,7,20,40,70,60
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-382.727800993313,-865.4556019866259,48.65225142057081,100.0,173.16920609378724,1337.3053602626896,323 days 18:45:00,4,3,1,-129.64522245436635,0.0,-0.23428049942944437,-0.9126268618460088,,-0.4991555121833614,,0 days 02:24:59.999999999,0.0,-101.02752617965022,-1.6090456086565474,,0.8689752827618892,-1.6445183344028762,7,20,40,75,40
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-900.2381593368049,-1900.47631867361,48.65225142057081,100.0,173.16920609378724,2069.600362034583,323 days 18:45:00,4,3,1,-304.9466909020505,0.0,-0.23428049942944437,-0.9126268618460088,,-0.6323355879936109,,0 days 02:15:00,0.0,-215.0971561449185,-1.7818896739229912,,0.8560920839211484,-1.8003381435537735,7,20,40,75,50
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-681.3498948314319,-1462.6997896628639,48.65225142057081,100.0,173.16920609378724,1590.7021943180455,323 days 18:45:00,4,3,1,-230.80047609664874,0.0,-0.23428049942944437,-0.9126268618460088,,-0.5758758803986008,,0 days 01:55:00,0.0,-166.8498062449314,-1.6954596621970797,,0.8625536703403068,-1.712381749425351,7,20,40,75,60
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-180.5950488484574,-461.1900976969148,48.65225142057081,100.0,173.43746903085045,1069.0426914626732,323 days 18:45:00,4,3,1,-60.98950656061628,0.0,-0.19527552392148692,-0.9126268618460088,,-0.44739429506564676,,0 days 02:20:00,0.0,-56.5351807626146,-1.5518926997026792,-0.280699457249232,0.8616027607108034,-1.5984801515554123,7,20,40,80,40
2024-09-01 01:00:00+02:00,2025-07-21 21:30:00+02:00,323 days 20:45:00,50.0,-698.9077925471759,-1497.8155850943517,48.65225142057081,100.0,173.43746903085045,1629.1165198371318,323 days 18:45:00,4,3,1,-236.03106325793954,0.0,-0.23428049942944437,-0.9126268618460088,,-0.5803680808698424,,0 days 02:09:59.999999999,0.0,-170.958909763079,-1.707478594745279,-0.27866001287971714,0.850125385067978,-1.7270277022770792,7,20,40,80,50
