short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
20,200,SMA,EMA,3.0,2.5,-98.70365816774091,-1.870407981131592,38.98635477582846,98.75954975670676,2565,1181,1384,39.12,38.87,-493.52,SMA20/EMA200,SMA/EMA
9,200,EMA,SMA,2.0,2.0,-98.70522160143412,-2.2100527416886138,41.9925013390466,98.88731966421336,3735,1702,2033,42.6,41.52,-493.53,EMA9/SMA200,EMA/SMA
9,200,SMA,SMA,3.0,2.5,-98.70720002070142,-1.8000738420814686,36.21353880022014,98.90823050925755,3635,1646,1989,36.51,36.0,-493.54,SMA9/SMA200,SMA/SMA
21,200,EMA,EMA,3.0,2.0,-98.70802005820562,-1.9651485528174806,35.97713469096106,98.74385907542614,2800,1267,1533,36.31,35.75,-493.53999999999996,EMA21/EMA200,EMA/EMA
20,200,EMA,EMA,2.5,2.0,-98.71842888354709,-2.098419283618817,39.05263157894737,98.7735373883517,2851,1283,1568,39.83,38.46,-493.59,EMA20/EMA200,EMA/EMA
21,200,EMA,EMA,2.0,1.5,-98.7187153648922,-2.445360529735867,40.32658856940007,98.78553141110592,2818,1279,1539,40.19,40.48,-493.59,EMA21/EMA200,EMA/EMA
9,200,SMA,SMA,1.5,2.5,-98.72179119324352,-2.345496893160671,50.62704471101418,98.8412639413216,3668,1663,2005,51.11,50.22,-493.61,SMA9/SMA200,SMA/SMA
20,50,SMA,EMA,2.0,1.5,-98.72225540229928,-2.260401751151151,40.91492090637024,98.79604586132574,4678,2100,2578,40.95,40.88,-493.61,SMA20/EMA50,SMA/EMA
9,200,SMA,SMA,2.0,3.0,-98.73850119140968,-2.0987246687044374,45.54888039322774,98.80968761471902,3663,1656,2007,45.71,45.44,-493.7,SMA9/SMA200,SMA/SMA
21,50,SMA,SMA,2.0,2.0,-98.78850853328413,-2.0032229691209174,44.68599033816425,98.81412577341274,4968,2122,2846,44.58,44.76,-493.94,SMA21/SMA50,SMA/SMA
9,200,SMA,SMA,1.5,2.0,-98.78874886113783,-2.4862981446415238,48.83593536017529,98.89745123770946,3651,1653,1998,49.18,48.55,-493.94,SMA9/SMA200,SMA/SMA
21,200,EMA,EMA,2.0,2.0,-98.79830458712789,-2.2543698940183963,44.63458110516934,98.83163914690132,2806,1271,1535,44.53,44.76,-493.99,EMA21/EMA200,EMA/EMA
20,200,EMA,EMA,2.0,2.0,-98.81798498919376,-2.2675068440598314,43.922942206654994,98.8655519567341,2856,1285,1571,44.28,43.67,-494.09000000000003,EMA20/EMA200,EMA/EMA
21,50,SMA,EMA,2.0,3.0,-98.81884825560068,-1.9570276246354994,48.00597142247814,98.9223924517463,4690,2095,2595,48.97,47.24,-494.1,SMA21/EMA50,SMA/EMA
21,200,EMA,SMA,3.0,1.5,-98.81921630171068,-2.330604356607777,32.01624815361891,98.89559046066817,2709,1249,1460,32.67,31.51,-494.1,EMA21/SMA200,EMA/SMA
20,200,EMA,SMA,3.0,1.5,-98.82035357314611,-2.2954058928407357,31.597975415762836,98.87006898469109,2767,1271,1496,32.57,30.82,-494.1,EMA20/SMA200,EMA/SMA
