short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
50,200,SMA,EMA,1.5,2.0,4.053093272880346,2.8910121209789073,58.620689655172406,5.613571842670637,29,12,17,66.67,52.94,20.27,SMA50/EMA200,SMA/EMA
26,200,EMA,SMA,3.0,3.0,4.004119584846456,1.5872116753317644,52.38095238095239,6.223017320719509,42,17,25,52.94,52.0,20.02,EMA26/SMA200,EMA/SMA
21,26,EMA,EMA,2.5,2.5,3.978253841084302,1.3922503826067822,45.54455445544555,13.494931165649096,101,52,49,44.23,46.94,19.889999999999997,EMA21/EMA26,EMA/EMA
50,200,SMA,SMA,1.5,2.0,3.903420930714435,2.436872049439341,57.14285714285714,3.9370401729697093,35,12,23,33.33,69.57,19.52,SMA50/SMA200,SMA/SMA
50,200,SMA,EMA,3.0,3.0,3.8850917343970197,2.012716332243975,50.0,6.5645968211097445,28,12,16,50.0,50.0,19.42,SMA50/EMA200,SMA/EMA
20,200,EMA,SMA,3.0,2.0,3.8730406797595265,1.8282353664372781,45.23809523809524,7.114834475013527,42,14,28,50.0,42.86,19.369999999999997,EMA20/SMA200,EMA/SMA
50,200,EMA,SMA,2.0,2.5,3.8435073417498757,2.3961935366577136,60.71428571428571,4.232404947888811,28,10,18,50.0,66.67,19.21,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,2.0,2.5,3.7927538445761,2.36447345303896,57.14285714285714,5.469718433129399,28,12,16,58.33,56.25,18.96,SMA50/EMA200,SMA/EMA
50,200,SMA,SMA,2.0,1.5,3.6482433206669045,2.338315132576445,50.0,4.222986184210323,34,11,23,36.36,56.52,18.240000000000002,SMA50/SMA200,SMA/SMA
50,200,EMA,SMA,2.0,2.0,3.587555562371767,2.4349965123542994,57.14285714285714,4.051156130798465,28,10,18,50.0,61.11,17.94,EMA50/SMA200,EMA/SMA
26,200,SMA,SMA,2.5,2.0,3.530376903643287,1.888476294508194,52.94117647058824,5.697084770035975,34,9,25,66.67,48.0,17.65,SMA26/SMA200,SMA/SMA
50,200,SMA,SMA,3.0,1.5,3.490375393204704,1.8510480309194717,41.17647058823529,4.2229861842102885,34,11,23,27.27,47.83,17.45,SMA50/SMA200,SMA/SMA
50,200,EMA,SMA,3.0,1.5,3.386541401509885,2.0886239784343794,42.857142857142854,4.334947476966642,28,10,18,40.0,44.44,16.93,EMA50/SMA200,EMA/SMA
