Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,fast_window,slow_window
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,0.0723201329845864,-99.85535973403083,50.315549047387464,62.551287144197396,25.03756812206936,99.85535973403033,323 days 05:30:00,2879,2879,0,0.0,18.200764154220213,9.549393101398973,-5.489857981858389,0.8935755526373984,-0.6586242465151061,0 days 02:47:32.862595419,0 days 01:04:20.636942675,0.22028651762462356,-0.01734202148906395,-23.1423777197528,-1.0008236104602561,0.6281953442985049,-31.229591393291177,5,7
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,0.6603035964193822,-98.67939280716124,50.315549047387464,62.55128714420747,25.385346654248796,98.68282426379102,323 days 05:30:00,1977,1977,0,0.0,19.97976732422863,9.768276275421174,-3.6460998479444497,1.1020872713303864,-0.7268358838464485,0 days 04:11:34.936708860,0 days 01:29:26.434892541,0.2982147441693902,-0.024956851999787838,-15.47386673216545,-1.0056755371802786,0.7266246781330223,-21.516509917793854,5,9
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,1.930051812768454,-96.13989637446309,50.315549047387464,63.03091998021364,26.18745160546257,96.17632538791463,323 days 05:15:00,1586,1586,0,0.0,21.752837326607818,11.856636897663924,-3.8693053516280767,1.2317071784834386,-0.7741690868105815,0 days 05:10:26.086956521,0 days 01:48:31.039484286,0.37329491217503336,-0.030308920672907667,-11.670942346534186,-1.0133448422501479,0.7835189572629709,-16.507884776886684,5,11
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,3.02967336586687,-93.94065326826626,50.315549047387464,64.68139695211848,25.9902323058987,94.01527115011878,322 days 23:15:00,1367,1367,0,0.0,22.604242867593268,20.707878856624713,-3.96232899040238,1.3426605619855516,-0.8265006001467641,0 days 06:02:11.067961165,0 days 02:02:05.897920604,0.4160153290333763,-0.03436015115883925,-10.094042707656612,-1.0187123713636765,0.8080362517041391,-14.37390788074216,5,13
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,4.294937095475198,-91.4101258090496,50.315549047387464,64.98274080869099,25.308857143035162,91.5738533355673,321 days 12:00:00,1215,1214,1,0.007819793909488837,22.652388797364086,22.315175579990868,-3.962328990402386,1.440748241442537,-0.8497187172555662,0 days 06:42:26.181818181,0 days 02:18:28.945686900,0.4343355575417368,-0.037654763343026657,-8.814939758064753,-1.0235995737224384,0.8287604651358947,-12.615621553353451,5,15
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,5.764086864247723,-88.47182627150455,50.315549047387464,66.83748163245652,25.506953964225204,88.68082562676054,323 days 01:15:00,1108,1107,1,0.010494675557016997,23.125564588979223,29.77139023116265,-4.082975881184316,1.5412720671644404,-0.876924723196221,0 days 07:24:01.406250,0 days 02:28:15.299647473,0.4688557449762106,-0.03996965475276355,-7.765287282491232,-1.0291711562739592,0.8467354622354573,-11.167110942362362,5,17
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,6.571013182018795,-86.85797363596241,50.315549047387464,66.84252191334407,25.129133552477995,87.27783829615475,322 days 23:15:00,1058,1057,1,0.011963846668221478,22.8003784295175,29.50449121030907,-4.257276650247575,1.5814692976094902,-0.8716519211990373,0 days 07:50:36.099585062,0 days 02:35:44.117647058,0.4758815633378829,-0.04109834499966835,-7.321490156480804,-1.0297709666446933,0.8548394376108576,-10.56356415714626,5,19
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,8.652631652328793,-82.69473669534241,50.315549047387464,66.84252191334407,25.499275006578404,83.70809093929117,322 days 23:15:00,977,976,1,0.015753850357253185,23.258196721311474,28.80985750532773,-4.257276650247572,1.675984244140067,-0.8874459251546699,0 days 08:31:19.295154185,0 days 02:45:03.604806408,0.5133994247359676,-0.04238024815371782,-6.301810995095226,-1.029636954534168,0.8724171657188253,-9.107020830846123,5,21
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,8.32685942082955,-83.3462811583409,50.315549047387464,66.84252191334349,23.8424209210247,84.23395093297435,322 days 23:15:00,921,920,1,0.01516071670823127,22.39130434782609,29.350189615014656,-4.283693896301851,1.7836953785735525,-0.9214883412030507,0 days 09:20:53.883495145,0 days 02:53:43.109243697,0.49782801735787235,-0.045313370973781075,-6.441850218617105,-1.0301588772544432,0.8691456873533141,-9.240643682698893,5,23
2024-09-01 01:00:00+02:00,2025-07-21 10:45:00+02:00,323 days 10:00:00,50.0,9.576418083138506,-80.84716383372299,50.315549047387464,66.72262210909096,24.55970109360528,81.88666370778964,322 days 23:15:00,877,876,1,0.017435788729045498,22.146118721461185,28.616103757759507,-4.344750780404333,1.895819424252183,-0.931154910177169,0 days 10:02:05.257731958,0 days 03:00:42.228739002,0.5300794684278244,-0.04616554532601683,-5.913658733603597,-1.0320820367786032,0.8789399543125194,-8.508339102432725,5,25
