body_threshold,total_return,sharpe,max_dd,win_rate,profit_factor,total_trades
0.001,0.7317379039400168,0.6497568131349366,2.129710195511133,37.142857142857146,1.2553528143106603,70
0.0015,0.6773024271200143,0.6047330925109498,2.099492772989168,38.80597014925373,1.238845529934865,67
0.002,0.6157333620100167,0.5503583413263368,2.1377661322122194,36.92307692307693,1.2108558538479113,65
0.001,0.7317379039400168,0.6497568131349366,2.129710195511133,37.142857142857146,1.2553528143106603,70
0.0015,0.6773024271200143,0.6047330925109498,2.099492772989168,38.80597014925373,1.238845529934865,67
0.002,0.6157333620100167,0.5503583413263368,2.1377661322122194,36.92307692307693,1.2108558538479113,65
0.0025,0.3328706649800176,0.3023608444626638,2.3168521185512754,35.483870967741936,1.106688955331473,62
0.003,0.517480989570015,0.4760012096935758,1.9957297462751429,31.48148148148148,1.185652239973376,54
0.0035,0.04126480418001392,0.04359120269702963,2.1810400789398465,28.30188679245283,1.0137614378449507,53
0.004,-0.1976154543199857,-0.17245899243946636,2.1051104213520757,25.49019607843137,0.9372050675325562,51
0.0045000000000000005,-0.244405818469985,-0.21572458212600903,2.1911806454691254,22.448979591836736,0.9194123433962262,49
