Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,body_threshold
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10000.0,0.0,48.557944832635336,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,0.0001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10000.0,0.0,48.557944832635336,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,0.0002
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10191.068291341127,1.910682913411281,48.557944832635336,7.503530541074389,1.1912605508929912,1.8032372021134973,217 days 21:45:00,1,1,0,0.0,100.0,38.25187192649384,38.25187192649384,38.25187192649384,,78 days 22:45:00,,inf,191.0682913411281,1.0563763633474823,1.1923524086772201,1.0335592579488377,1.4951774224382408,0.00030000000000000003
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10208.543531998477,2.0854353199847764,48.557944832635336,7.503530541074389,2.227861132525651,1.8032372021134973,217 days 21:45:00,2,2,0,0.0,100.0,38.25187192649384,3.432950383203617,20.842411154848726,,41 days 10:37:30,,inf,104.27176599923881,1.1442611363783393,1.301544991762829,1.0356680852372855,1.6201290657665077,0.0004
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10078.650138724903,0.7865013872490324,48.557944832635336,6.343939427825088,4.084668842815352,1.5245660055074484,217 days 21:45:00,4,4,0,0.0,75.0,15.40391701665035,-5.761214421419983,7.172457245813106,-5.761214421419983,27 days 11:45:00,13 days 03:30:00,3.7294078310920384,19.66253468122582,0.5181962419741023,0.5801256897415185,1.0149786552786435,0.7273490430547743,0.0005
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10366.612035964918,3.6661203596491783,48.557944832635336,8.058217171402257,6.419077164262194,1.9365386609197093,205 days 03:00:00,6,6,0,0.0,83.33333333333334,49.351272697366134,-5.359941130257815,15.633413667065026,-5.359941130257815,20 days 06:39:00,12 days 15:45:00,14.666531773404477,61.102005994152975,1.7445045767217195,2.132620936874678,1.047630828042581,2.4853320805657084,0.0006000000000000001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10043.28009348738,0.43280093487378624,48.557944832635336,8.058217171402255,9.049097193790832,3.1800524402431254,217 days 21:45:00,9,9,0,0.0,55.55555555555556,49.351272697366134,-40.01731203822445,12.153056831441726,-12.771994707028044,19 days 16:21:00,18 days 23:00:00,1.1668345005883958,4.808899276375399,0.19279181921895963,0.15301284750892358,1.0043018668735937,0.26948285545260997,0.0007000000000000001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10284.748530762878,2.847485307628773,48.557944832635336,8.04614140654567,10.351518909352349,1.0895619278682374,227 days 20:30:00,10,10,0,0.0,60.0,55.7912253414279,-5.751120754157647,11.161571773804495,-2.4944208220854596,12 days 03:27:29.999999999,4 days 02:11:15,6.668635009770005,28.474853076287726,1.6377929146835064,2.942570218416611,1.0508373043200814,2.3439223906074838,0.0008
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10428.544685817222,4.285446858172214,48.557944832635336,8.046141406545672,14.562746312488986,1.0895619278682298,152 days 19:15:00,14,14,0,0.0,57.14285714285714,55.79122534142793,-5.751120754157647,12.35766891781666,-2.2895757662630074,8 days 22:22:30,2 days 20:19:59.999999999,7.154444983585955,30.6103347012301,2.209200180303605,4.432409581073851,1.0690337814222393,3.1498291208585316,0.0009000000000000001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10248.411777326708,2.4841177732670765,48.557944832635336,7.933754729888785,20.40803071207155,2.1028125327257894,155 days 02:15:00,20,20,0,0.0,35.0,58.766529754791144,-28.5805597880149,15.141752559406848,-4.257399775784664,10 days 17:51:25.714285714,5 days 02:11:32.307692307,1.8835763357284023,12.420588866335395,1.049735746185032,1.3298195618423405,1.0257968775936392,1.4745995288732805,0.001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10262.010740440035,2.6201074044003567,48.557944832635336,6.731840603672974,30.682870916441832,1.0751010402265968,137 days 08:30:00,30,30,0,0.0,53.333333333333336,32.962135300363926,-11.589993939146845,4.9208560262435554,-1.8968190784998025,5 days 00:53:26.250000,1 days 20:42:51.428571428,2.9386820499699797,8.733691348001187,1.555939206536346,2.7436387111766734,1.0427698966749346,2.23696782893678,0.0011
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10116.037824302244,1.1603782430224385,48.557944832635336,6.731840603672974,37.412014426522994,1.7220863411360157,217 days 21:45:00,37,37,0,0.0,48.64864864864865,34.74682278710651,-11.589993939146824,4.861839543134449,-3.363535243119299,4 days 06:15:00,2 days 18:21:18.947368421,1.3596604999715134,3.13615741357415,0.6208392873225131,0.75790280780954,1.0155369847611455,0.8799186092206766,0.0012000000000000001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10085.543098157345,0.855430981573441,48.557944832635336,6.3342556339051646,54.34096651189068,1.1233585056659996,137 days 08:30:00,54,54,0,0.0,48.148148148148145,26.244138311727895,-11.589993939146822,3.292599384859591,-2.4351490298943044,2 days 22:58:16.153846153,2 days 05:30:00,1.2497435757256452,1.5841314473582182,0.4659646622934369,0.8563551084515779,1.0109890678404894,0.654432161072944,0.0013000000000000002
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10064.792937591945,0.6479293759194422,48.557944832635336,6.365621150525874,64.88540892978689,2.3331455127612375,227 days 20:30:00,65,65,0,0.0,46.15384615384615,26.244138311727884,-12.603721824832064,3.3731613535938587,-2.506397462163232,2 days 15:15:00,1 days 22:15:00,1.1479050926111436,0.9968144244914514,0.33180936553252904,0.31226085744585436,1.0076670509758678,0.4657898327275375,0.0014000000000000002
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,10041.012086288036,0.41012086288035565,48.557944832635336,6.365621150525874,81.59403288857258,2.4163577129246625,234 days 10:30:00,82,82,0,0.0,45.1219512195122,24.16430991205454,-12.603721824832064,2.889485597173009,-2.1837468761873446,1 days 21:20:40.540540540,1 days 15:04:20,1.08382602708473,0.5001473937565271,0.218159423157703,0.19081764656123543,1.0051007278955326,0.30671473822163436,0.0015
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,9765.717383207393,-2.342826167926064,48.557944832635336,5.819277181743936,86.08124540910275,3.579362530730734,322 days 19:45:00,88,88,0,0.0,36.36363636363637,15.073090951911,-12.333697148259134,2.195606299754984,-2.0961824728876834,1 days 10:32:20.625000,1 days 06:36:57.857142857,0.5939483353600623,-2.6623024635523453,-1.3315512094270427,-0.7346093726051149,0.9658797438897088,-1.846749482321233,0.0016
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,9798.912349177588,-2.0108765082241233,48.557944832635336,5.819277181743934,96.086782560212,3.306976831867095,322 days 19:45:00,98,98,0,0.0,40.816326530612244,15.073090951910975,-12.274352865446337,1.9933499509636323,-2.069941505624678,1 days 09:11:15,1 days 04:01:48.620689655,0.6599165042789658,-2.051914804310329,-1.0942391388568997,-0.6826010893149834,0.9723953693239765,-1.5159595187799082,0.0017000000000000001
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,9769.774115000972,-2.3022588499902885,48.557944832635336,5.846064347964723,115.59244124706545,3.654910097767611,322 days 19:45:00,118,118,0,0.0,43.22033898305085,15.636171173405996,-11.388244480804124,1.7992729629743347,-2.0603607043081182,1 days 02:10:00,1 days 01:51:16.119402985,0.6608911482756608,-1.9510668220256653,-1.2351197804129739,-0.7069856952871829,0.9694751693000943,-1.7139992258143246,0.0018000000000000002
2024-09-01 01:00:00+02:00,2025-07-22 18:30:00+02:00,324 days 17:45:00,10000.0,9666.019085600135,-3.3398091439986413,48.557944832635336,5.846064347964721,128.40224115175826,4.7819294496344344,323 days 06:15:00,132,132,0,0.0,40.15151515151515,15.636171173406026,-12.346694673161847,1.7394078544312626,-2.023266334773852,0 days 17:38:12.452830188,1 days 03:48:47.848101265,0.5725696906963482,-2.5301584424232146,-1.6939265506996366,-0.7833703651905194,0.9577002331036611,-2.384027812366147,0.0019000000000000002
